Team Name,Candidate Type,Candidate Name,Candidate Email,Candidate Mobile
Quia eaque,team leader,Tiya Krishnamurthy,tiyakrishnamurthy@example.com,8421266071.0
Ab eius,team member,Krish Madan,krishmadan@example.com,4823927726.0
Ab eius,team member,Shlok Varughese,shlokvarughese@example.com,2196306734.0
Ab eius,team leader,Aaryahi Gara,aaryahigara@example.com,9207423064.0
Illo impedit,team leader,Ahana  Gokhale,ahanagokhale@example.com,5318661231.0
Ex sapiente,team leader,Anahi Varghese,anahivarghese@example.com,912336154745.0
Labore aliquid,team leader,Eshani Kunda,eshanikunda@example.com,8716251234.0
Cupiditate accusamus,team leader,Ivana Baria,ivanabaria@example.com,7951352026.0
Distinctio fugit,team leader,Zeeshan Shetty,zeeshanshetty@example.com,9450753210.0
Repellendus at,team leader,Ira Baral,irabaral@example.com,916378372357.0
Repellendus at,team member,Reyansh Grewal,reyanshgrewal@example.com,913527441263.0
Aperiam eaque,team leader,Shalv Chakraborty,shalvchakraborty@example.com,6839250990.0
Velit quae,team leader,Tanya Chawla,tanyachawla@example.com,5756579507.0
Totam quos,team leader,Arnav Saraf,arnavsaraf@example.com,8294195498.0
Doloremque voluptas,team leader,Ayesha Barman,ayeshabarman@example.com,5976726424.0
Consequuntur corporis,team member,Amira Sidhu,amirasidhu@example.com,917097859778.0
Consequuntur corporis,team leader,Saira Sharma,sairasharma@example.com,918518779124.0
Vero nobis,team leader,Kiara Tata,kiaratata@example.com,2706296979.0
Ea possimus,team leader,Mohanlal Bhandari,mohanlalbhandari@example.com,5415737328.0
Provident sint,team leader,Tarini Comar,tarinicomar@example.com,346861169.0
Rem adipisci,team leader,Urvi Ben,urviben@example.com,6364759102.0
Doloremque nostrum,team leader,Shayak Chanda,shayakchanda@example.com,3059126052.0
Soluta iusto,team leader,Anay Anne,anayanne@example.com,3870317061.0
Numquam dolor,team leader,Prerak Salvi,preraksalvi@example.com,919945147871.0
Quidem,team leader,Ryan Gera,ryangera@example.com,4729572722.0
Possimus aliquam,team leader,Fateh Tandon,fatehtandon@example.com,689379580.0
Doloribus,team member,Krish Bose,krishbose@example.com,2949001007.0
Doloribus,team member,Tanya Trivedi,tanyatrivedi@example.com,3559235557.0
Doloribus,team leader,Sahil Subramaniam,sahilsubramaniam@example.com,916396796032.0
Impedit aliquam,team leader,Dhanuk Hayer,dhanukhayer@example.com,911974186460.0
Maxime quos,team leader,Aniruddh Chander,aniruddhchander@example.com,7924270076.0
Maxime quos,team member,Yuvraj  Bali,yuvrajbali@example.com,910807677717.0
Maxime quos,team member,Lavanya Kanda,lavanyakanda@example.com,5532138176.0
Nam deleniti,team leader,Hazel Mane,hazelmane@example.com,9865906390.0
Voluptates error,team leader,Anya Mane,anyamane@example.com,3649241486.0
Autem,team leader,Pranay Yogi,pranayyogi@example.com,914611162072.0
Exercitationem accusamus,team leader,Ira Borde,iraborde@example.com,8879823635.0
Dignissimos amet,team leader,Arhaan Tandon,arhaantandon@example.com,65557455.0
Dignissimos amet,team member,Arhaan Bose,arhaanbose@example.com,4507988808.0
Nesciunt necessitatibus,team leader,Samarth Sibal,samarthsibal@example.com,1244251576.0
Quaerat quos,team leader,Ritvik Walia,ritvikwalia@example.com,917233372529.0
Ducimus fugit,team leader,Jayant Shan,jayantshan@example.com,915274595604.0
Culpa eos,team leader,Vedika Swamy,vedikaswamy@example.com,5272516645.0
Distinctio asperiores,team leader,Raghav Raju,raghavraju@example.com,911966210587.0
Cul dignissimos,team leader,Rhea Reddy,rheareddy@example.com,910111625776.0
Dicta,team leader,Zoya Swaminathan,zoyaswaminathan@example.com,917418534301.0
Possimus enim,team leader,Kimaya Hayer,kimayahayer@example.com,7675223620.0
Iure vitae,team leader,Dhruv Lad,dhruvlad@example.com,919186563057.0
Quibusdam illum,team leader,Ishaan Toor,ishaantoor@example.com,917870667173.0
Saepe esse,team leader,Rati Subramanian,ratisubramanian@example.com,4181398738.0
Ut,team leader,Elakshi Grewal,elakshigrewal@example.com,917011441469.0
Itaque quidem,team leader,Emir Grover,emirgrover@example.com,4227056161.0
Ratione sint,team leader,Jhanvi Joshi,jhanvijoshi@example.com,919904006736.0
Amet incidunt,team member,Ritvik Amble,ritvikamble@example.com,9963146026.0
Amet incidunt,team leader,Vidur Mandal,vidurmandal@example.com,5713506290.0
Amet incidunt,team member,Ishaan Mani,ishaanmani@example.com,3100323094.0
Eaque similique,team leader,Heer Lanka,heerlanka@example.com,85011221.0
Unde porro,team member,Mehul Venkataraman,mehulvenkataraman@example.com,913854164357.0
Unde porro,team member,Bhavin Chaudhari,bhavinchaudhari@example.com,7326016811.0
Unde porro,team leader,Divit Majumdar,divitmajumdar@example.com,913558432334.0
Error perspiciatis,team leader,Seher Wali,seherwali@example.com,919120827482.0
Inventore,team leader,Alisha Walia,alishawalia@example.com,3749003492.0
Inventore,team member,Madhav Ratta,madhavratta@example.com,918238157337.0
Mollitia unde,team leader,Purab Tailor,purabtailor@example.com,4331718106.0
Mollitia unde,team member,Vedika Sha,vedikasha@example.com,916880598698.0
Fuga voluptas,team leader,Anahita Ramachandran,anahitaramachandran@example.com,912412274229.0
Quidem dolore,team leader,Yuvraj  Apte,yuvrajapte@example.com,7150285555.0
Veniam distinctio,team leader,Vedika Borde,vedikaborde@example.com,915131535796.0
Perferendis quia,team leader,Misha Majumdar,mishamajumdar@example.com,910632445985.0
Volestias ad,team leader,Indrajit Sridhar,indrajitsridhar@example.com,911632816343.0
A culque,team leader,Zara Grewal,zaragrewal@example.com,1163093259.0
Aspernatur eaque,team member,Stuvan Solanki,stuvansolanki@example.com,4340497264.0
Aspernatur eaque,team leader,Zeeshan Dalal,zeeshandalal@example.com,5618613191.0
Aspernatur eaque,team member,Kabir Bakshi,kabirbakshi@example.com,914724113859.0
Nam earum,team leader,Ayesha Mahal,ayeshamahal@example.com,911307895716.0
Quis voluptate,team leader,Kashvi Kala,kashvikala@example.com,7650015512.0
Sint eveniet,team leader,Biju Dada,bijudada@example.com,3206760019.0
Ullam quaerat,team leader,Ishaan Sidhu,ishaansidhu@example.com,911020496734.0
Unde voluptates,team leader,Pari Lall,parilall@example.com,912582322709.0
Est unde,team leader,Ranbir Tata,ranbirtata@example.com,7819401491.0
Aliquid maiores,team leader,Krish Ganesh,krishganesh@example.com,5241954524.0
Illo culpa,team leader,Divij Dalal,divijdalal@example.com,8057582205.0
Quibusdam quibusdam,team leader,Krish Master,krishmaster@example.com,915336803329.0
Magnam aut,team leader,Sahil Rama,sahilrama@example.com,4742940547.0
Dicta quaerat,team leader,Zoya Bassi,zoyabassi@example.com,913188983610.0
Quae exercitationem,team leader,Jayant Dhillon,jayantdhillon@example.com,7976527791.0
Sint earum,team leader,Shray Dhillon,shraydhillon@example.com,2660588338.0
Recusandae eaque,team leader,Sara Chaudhary,sarachaudhary@example.com,919264505465.0
Fugiat dignissimos,team leader,Rhea Srinivas,rheasrinivas@example.com,878999037.0
Iure eum,team leader,Divyansh Deo,divyanshdeo@example.com,4378398784.0
